rank,pain_id,type(change|bugfix|doc|test),owner,branch,status(todo|in_progress|blocked|done),acceptance_criteria,tests(required),evidence_refs,planned_diff_hint,eta,pr_link
1,P004,bugfix,automation,fix/p004-cash-transaction-validation,done,"Submitting DEPOSIT, WITHDRAWAL, DIVIDEND, or INTEREST without a price succeeds and records a cash-only entry; price input stays hidden for these types.","Vitest: src/__tests__/Transactions.integration.test.jsx → \"hides the price input for cash-only types and accepts submissions without a price\".","src/components/TransactionsTab.jsx:L343-L383;src/components/TransactionsTab.jsx:L439-L575;src/__tests__/Transactions.integration.test.jsx:L47-L88","Update TransactionsTab validation/UI for cash-only types; adjust computed shares; document behavior in README (already references cash-only workflow).",1d,
2,P003,doc,automation,fix/p003-doc-alignment,done,"README and UI state that importer support is pending and document the supported API upload workflow.","Docs only – manual verification of README + Reports tab copy.","README.md:L199-L231;src/components/ReportsTab.jsx:L93-L102","Revise README bulk import section, highlight API ingestion path, and add Reports tab tip pointing to the guidance.",0.5d,
3,P001,bugfix,automation,fix/persona-pain-coverage,done,"Portfolio Controls shows friendly error copy mapped from API codes and includes request IDs.","Vitest: src/__tests__/PortfolioControls.test.jsx → \"maps API errors to friendly copy and surfaces request IDs\"; \"falls back to generic messaging for unexpected failures\".","src/components/PortfolioControls.jsx:L89-L198;src/__tests__/PortfolioControls.test.jsx:L1-L132","Error mapping helper exercised via component tests capturing 403 + 503 flows; banner surfaces request IDs for compliance traceability.",2d,
4,P002,bugfix,automation,fix/persona-pain-coverage,done,"When fetchPrices fails the UI surfaces an error banner and retains last known valuations.","Vitest: src/__tests__/App.pricing.test.jsx → \"retains previous prices and surfaces an alert when refresh fails\".","src/App.jsx:L129-L198;src/__tests__/App.pricing.test.jsx:L1-L132","Pricing effect preserves last known quotes, emits alert banner with request ID, and regression covered by dedicated test harness.",3d,
5,P009,bugfix,automation,fix/p009-admin-autorefresh,done,"Admin dashboard refreshes monitoring, security, events, and NAV data automatically using VITE_ADMIN_POLL_INTERVAL_MS cadence.","Vitest: src/__tests__/AdminTab.test.jsx → \"auto refresh honours the configured poll interval\".","src/components/AdminTab.jsx:L356-L465;src/__tests__/AdminTab.test.jsx:L97-L165","Attach interval-driven refresh keyed off env-configured poll interval; ensure cleanup on unmount.",2d,
6,P007,change,automation,fix/persona-pain-coverage,done,"Portfolio settings persist with portfolio payload and hydrate across devices.","Vitest: src/__tests__/App.settingsPersistence.test.jsx → \"saves preferences with the portfolio payload and hydrates them on load\".","src/App.jsx:L211-L280;src/__tests__/App.settingsPersistence.test.jsx:L1-L155","Save/load flows assert preferences + autoClip fields persist with portfolio JSON and round-trip from retrieve endpoint.",3d,
7,P005,bugfix,automation,fix/p005-roi-ticker-filter,done,"Fallback ROI builder ignores cash-only entries lacking tickers and preserves holdings valuations.","Vitest: src/__tests__/roi.test.js → \"skips price fetches for transactions without tickers\".","src/utils/roi.js:L99-L188;src/__tests__/roi.test.js:L1-L200","Normalize tickers before ROI price fetch; guard share accumulator when ticker missing.",1d,
8,P010,bugfix,automation,fix/p010-admin-stale-nav,done,"Admin dashboard surfaces stale nightly pricing warnings when NAV snapshots flag stale_price=true.","Vitest: src/__tests__/AdminTab.test.jsx → \"surfaces stale pricing warnings from NAV snapshot\".","src/components/AdminTab.jsx:L412-L460;src/__tests__/AdminTab.test.jsx:L167-L190","Render stale pricing badge using latest NAV snapshot metadata and ensure request IDs persist.",1d,
9,P006,bugfix,automation,fix/p006-roi-fallback-alert,done,"When ROI API fails, UI displays fallback banner with request ID and marks dashboard status as fallback ROI.","Vitest: src/__tests__/App.roiFallback.test.jsx → \"alerts when ROI API fails and fallback math is used\".","src/App.jsx:L173-L214;src/__tests__/App.roiFallback.test.jsx:L1-L104","Surface ROI fallback banner with request ID and status pill when API errors occur; rely on local recompute.",2d,
10,P008,change,automation,fix/p008-security-export,done,"Compliance can export security events CSV from Admin tab including metadata fields.","Vitest: src/__tests__/reports.test.js → \"serialises security events with request metadata\"; manual UI click path verified.","src/components/AdminTab.jsx:L600-L690;src/utils/reports.js:L84-L158;src/__tests__/reports.test.js:L1-L44","Add export button wiring to CSV helper covering metadata serialization.",1d,
11,P011,change,automation,fix/p011-performance-csv,done,"Performance CSV export includes portfolio, SPY, blended, ex-cash, cash, and spread columns.","Vitest: src/__tests__/reports.test.js → \"includes benchmark series columns in the header and rows\".","src/utils/reports.js:L60-L118;src/__tests__/reports.test.js:L1-L26","Extend performance CSV builder to append benchmark series columns present in ROI dashboard.",1d,
